0.0,1882.94879032,277.071634863,2160.02042519
0.05,1926.11871958,295.782603226,2221.9013228
0.1,1913.60350069,320.911433203,2234.5149339
0.15,1936.9294985,342.035192885,2278.96469138
0.2,1960.21452159,368.691177286,2328.90569888
0.25,1967.28804191,409.981563413,2377.26960533
0.3,2020.34578644,438.436003667,2458.78179011
0.35,2007.24575598,490.56188291,2497.80763889
0.4,2021.85694814,529.952141169,2551.80908931
0.45,2050.98744413,606.961862583,2657.94930671
0.5,2036.11208364,660.849499386,2696.96158303
0.55,2061.85702452,717.427439494,2779.28446401
