0.0,204.628841469,303.435662146,508.064503615
0.05,201.965570718,301.50075511,503.466325828
0.1,206.672835892,299.50575776,506.178593652
0.15,210.81454346,299.915734372,510.730277833
0.2,209.900937777,314.435562043,524.33649982
0.25,220.407945946,284.289262218,504.697208164
0.3,226.82708263,297.233123712,524.060206343
0.35,222.784139705,311.020301838,533.804441543
0.4,228.260062473,303.75139666,532.011459133
0.45,231.209001876,290.612193406,521.821195282
0.5,229.808265818,341.988751316,571.797017133
0.55,233.598990913,362.260311014,595.859301927
0.6,234.511603407,382.046103866,616.557707272
0.65,235.819977578,412.293563066,648.113540643
0.7,236.624214934,427.124477098,663.748692032
0.75,234.02302793,490.354860221,724.377888151
0.8,230.727595665,564.142184774,794.869780439
0.85,240.20075148,616.644479326,856.845230807
0.9,235.244460868,657.422229706,892.666690575
0.95,230.290174491,773.089438201,1003.37961269
1.0,228.002291885,851.916070449,1079.91836233
