0.0,204.772462263,308.288313351,513.060775614
0.2,179.008586661,296.994439982,476.003026643
0.4,149.354695984,302.693175067,452.047871052
0.6,118.276946142,306.445012602,424.721958743
0.8,88.2684691417,318.733419995,407.001889137
1.0,42.9609311777,331.146023492,374.10695467
1.2,18.0984454062,372.167801863,390.266247269
1.4,24.3188583966,611.185785342,635.504643739
1.6,206.625126584,1049.79373617,1256.41886275
1.8,303.543606532,1370.86084814,1674.40445467
2.0,394.139332472,1598.04273242,1992.18206489
